InteractionID;UserID;SessionDuration (secs);QueryType;ResponseTime (secs);SatisfactionRating;ResolvedQuery;SentimentScore;IntentConfidence (%);ResponseLength (words);Language;ChatbotVersion;Escalation;InteractionDate;EfficiencyScore
9183;4280;67;Product Inquiry;2;3;Yes;0.59;91.48;35;English;v1.0;No;18/01/2024 14:00;10.35
9184;2380;208;Product Inquiry;1;1;Yes;-0.1;69.37;99;English;v2.0;No;18/01/2024 15:00;7.64
9185;1973;323;Product Inquiry;2;4;Yes;-0.28;72.45;98;English;v1.0;No;18/01/2024 16:00;8.75
9186;4672;578;Product Inquiry;7;5;Yes;0.16;99.88;80;German;v1.1;No;18/01/2024 17:00;11.29
9187;4639;124;General Query;2;3;Yes;-0.44;60.0;80;Spanish;v1.1;No;18/01/2024 18:00;7.2
9188;4165;388;Product Inquiry;6;5;Yes;0.62;77.52;97;French;v1.1;No;18/01/2024 19:00;9.15
9189;4164;520;Technical Support;1;5;Yes;0.79;77.14;59;English;v1.0;No;18/01/2024 20:00;9.61
9190;1339;479;General Query;4;4;Yes;-0.64;57.11;96;English;v2.0;Yes;18/01/2024 21:00;7.01
9191;3644;266;Others;7;2;Yes;0.3;83.16;87;English;v1.1;No;18/01/2024 22:00;8.72
9192;4516;283;General Query;8;5;Yes;0.76;75.81;76;English;v2.1;No;18/01/2024 23:00;8.78
9193;1756;225;Feedback;8;2;Yes;0.2;90.25;80;English;v1.1;No;19/01/2024 00:00;9.33
9194;2045;526;Technical Support;5;3;Yes;-0.63;86.48;12;English;v2.0;Yes;19/01/2024 01:00;9.55
9195;3338;549;Technical Support;2;1;Yes;-0.52;89.67;36;Other;v1.0;No;19/01/2024 02:00;9.57
9196;4556;383;Feedback;4;2;Yes;-0.57;89.43;28;English;v1.0;No;19/01/2024 03:00;9.64
9197;4855;359;Technical Support;3;3;Yes;-0.47;61.41;46;Spanish;v2.0;No;19/01/2024 04:00;7.24
9198;3353;426;General Query;7;1;Yes;0.51;99.54;43;Spanish;v1.0;No;19/01/2024 05:00;10.05
9199;3681;472;Technical Support;6;2;Yes;0.43;82.1;65;English;v2.1;No;19/01/2024 06:00;8.71
9200;4199;597;General Query;2;2;Yes;0.1;72.07;7;English;v2.0;No;19/01/2024 07:00;8.11
9201;3672;169;Product Inquiry;4;1;Yes;-0.72;78.97;14;French;v1.0;No;19/01/2024 08:00;8.3
9202;1938;212;Feedback;3;3;Yes;0.06;52.19;58;English;v1.0;No;19/01/2024 09:00;6.32
9203;4344;166;General Query;1;4;Yes;-0.97;80.91;53;English;v2.0;No;19/01/2024 10:00;9.69
9204;1847;425;General Query;1;1;Yes;-0.87;66.85;84;English;v2.0;No;19/01/2024 11:00;7.38
9205;1441;202;Product Inquiry;3;3;No;-0.97;57.26;56;English;v2.0;No;19/01/2024 12:00;6.33
9206;3550;125;General Query;9;3;Yes;0.68;75.64;25;French;v2.1;No;19/01/2024 13:00;8.06
9207;1129;255;General Query;4;3;Yes;0.08;95.31;10;French;v2.0;No;19/01/2024 14:00;10.53
9208;4203;198;Product Inquiry;8;3;Yes;0.78;83.57;13;English;v1.1;No;19/01/2024 15:00;8.96
9209;1596;451;Product Inquiry;1;1;Yes;0.31;68.37;16;English;v2.1;No;19/01/2024 16:00;7.54
9210;2958;420;Product Inquiry;8;2;Yes;0.58;81.66;73;French;v2.0;No;19/01/2024 17:00;8.47
9211;2505;544;Product Inquiry;2;5;Yes;-0.87;83.47;5;French;v2.0;No;19/01/2024 18:00;10.15
9212;1861;559;Others;3;2;Yes;0.64;59.86;18;Spanish;v1.1;No;19/01/2024 19:00;6.79
9213;4461;342;Others;1;4;Yes;0.15;80.37;99;English;v1.0;No;19/01/2024 20:00;9.64
9214;3640;280;Technical Support;8;2;Yes;-0.29;55.25;58;French;v1.0;No;19/01/2024 21:00;5.82
9215;1998;418;General Query;5;4;Yes;-0.28;82.24;69;English;v2.1;No;19/01/2024 22:00;9.42
9216;3372;356;General Query;9;4;Yes;0.9;97.0;21;German;v2.0;No;19/01/2024 23:00;10.5
9217;4140;319;Feedback;8;5;Yes;0.89;73.39;22;French;v2.1;No;20/01/2024 00:00;8.54
9218;4731;138;Product Inquiry;2;2;Yes;0.39;94.77;15;English;v1.1;No;20/01/2024 01:00;10.38
9219;3495;577;Others;6;2;Yes;0.59;78.22;73;Spanish;v2.0;No;20/01/2024 02:00;8.32
9220;2551;432;Product Inquiry;4;4;Yes;0.5;88.82;53;English;v2.1;No;20/01/2024 03:00;10.18
9221;3866;599;Feedback;4;3;Yes;0.56;59.77;77;English;v2.1;No;20/01/2024 04:00;6.98
9222;2640;403;General Query;4;3;No;0.43;96.57;84;English;v1.1;No;20/01/2024 05:00;10.16
9223;4236;499;Product Inquiry;8;2;Yes;-0.85;61.29;27;Other;v1.1;No;20/01/2024 06:00;6.43
9224;2511;324;Technical Support;8;3;No;0.25;83.31;52;English;v1.1;No;20/01/2024 07:00;8.43
9225;2736;215;Feedback;3;3;Yes;0.17;82.42;17;English;v1.0;Yes;20/01/2024 08:00;9.34
9226;3756;352;Product Inquiry;8;2;Yes;-0.27;84.52;6;Spanish;v1.1;No;20/01/2024 09:00;8.75
9227;2449;39;General Query;8;4;Yes;-0.5;85.46;80;French;v2.0;No;20/01/2024 10:00;9.45
9228;4768;452;Feedback;7;4;Yes;0.35;70.29;63;English;v1.0;No;20/01/2024 11:00;8.03
9229;2857;445;Product Inquiry;2;3;No;-1.0;81.36;74;English;v2.0;No;20/01/2024 12:00;8.84
9230;1264;248;General Query;5;4;Yes;-0.03;72.13;72;English;v2.0;No;20/01/2024 13:00;8.41
9231;4946;543;Product Inquiry;5;2;Yes;-0.84;55.15;57;English;v1.0;No;20/01/2024 14:00;6.12
9232;3659;236;Technical Support;4;5;No;-0.82;57.93;14;English;v1.0;No;20/01/2024 15:00;6.89
9233;4413;394;Product Inquiry;1;1;Yes;0.0;62.77;11;Spanish;v1.1;Yes;20/01/2024 16:00;6.98
9234;3879;55;Feedback;4;2;Yes;0.42;86.78;11;English;v1.0;No;20/01/2024 17:00;9.38
9235;4797;47;Product Inquiry;1;2;No;0.06;62.49;55;Spanish;v2.0;No;20/01/2024 18:00;6.75
9236;4349;391;Product Inquiry;7;5;No;0.05;94.26;86;French;v1.0;No;20/01/2024 19:00;10.23
9237;3721;105;General Query;1;2;Yes;-0.85;96.08;39;Spanish;v1.1;No;20/01/2024 20:00;10.61
9238;2462;207;Product Inquiry;4;5;No;0.42;79.09;34;English;v1.1;No;20/01/2024 21:00;9.01
9239;1156;324;General Query;7;3;No;-0.62;96.55;84;German;v2.1;Yes;20/01/2024 22:00;9.86
9240;2445;441;General Query;5;4;Yes;-0.14;54.85;9;English;v1.1;No;20/01/2024 23:00;6.68
9241;3298;99;General Query;3;2;Yes;0.6;56.86;45;Other;v2.0;No;21/01/2024 00:00;6.49
9242;3925;205;General Query;9;4;Yes;0.95;80.26;32;English;v1.0;No;21/01/2024 01:00;8.83
9243;2632;24;General Query;2;5;Yes;0.27;53.77;23;English;v2.0;No;21/01/2024 02:00;7.18
9244;3577;577;Product Inquiry;2;3;Yes;0.08;89.81;89;French;v1.0;No;21/01/2024 03:00;10.18
9245;3374;516;General Query;8;5;Yes;0.3;60.18;18;Other;v1.1;No;21/01/2024 04:00;7.22
9246;4008;528;General Query;5;3;Yes;0.19;93.99;13;Spanish;v1.0;No;21/01/2024 05:00;10.3
9247;1894;21;Others;7;4;Yes;0.64;60.58;11;English;v2.0;No;21/01/2024 06:00;7.06
9248;3144;236;Product Inquiry;9;2;Yes;0.87;73.86;57;French;v1.0;No;21/01/2024 07:00;7.59
9249;1512;556;Product Inquiry;2;2;Yes;-0.53;51.45;55;French;v1.0;No;21/01/2024 08:00;6.05
9250;1215;276;General Query;7;2;Yes;-0.52;89.17;13;English;v2.0;No;21/01/2024 09:00;9.32
9251;4203;472;Product Inquiry;7;3;Yes;0.88;59.22;57;English;v1.1;No;21/01/2024 10:00;6.62
9252;4331;443;Product Inquiry;4;5;Yes;-0.05;91.55;60;English;v1.0;No;21/01/2024 11:00;10.76
9253;3172;343;Product Inquiry;7;2;No;0.51;68.3;64;French;v1.1;No;21/01/2024 12:00;6.73
9254;4153;518;General Query;4;1;Yes;-0.15;53.31;24;English;v2.1;No;21/01/2024 13:00;5.73
9255;4354;216;Technical Support;9;3;Yes;0.58;88.71;59;English;v1.0;No;21/01/2024 14:00;9.37
9256;2706;523;Feedback;4;2;Yes;-0.78;59.35;97;French;v1.1;No;21/01/2024 15:00;6.64
9257;3106;291;Feedback;1;2;Yes;-0.98;59.98;96;Other;v2.1;No;21/01/2024 16:00;7.0
9258;2567;37;General Query;6;5;Yes;-0.11;81.26;29;English;v2.0;No;21/01/2024 17:00;9.53
9259;3208;126;Technical Support;5;4;Yes;-0.84;53.47;7;English;v2.1;No;21/01/2024 18:00;6.55
9260;3331;548;General Query;4;3;Yes;0.99;92.63;44;English;v1.0;No;21/01/2024 19:00;10.26
9261;3153;144;Product Inquiry;3;2;Yes;-0.07;74.31;87;Spanish;v2.0;No;21/01/2024 20:00;8.23
9262;2128;502;Product Inquiry;4;1;Yes;-0.6;98.04;10;English;v1.0;No;21/01/2024 21:00;10.2
9263;4510;23;Product Inquiry;1;5;Yes;0.8;89.29;67;English;v1.1;No;21/01/2024 22:00;10.83
9264;1227;370;Product Inquiry;5;3;No;0.66;91.33;69;English;v2.0;No;21/01/2024 23:00;9.53
9265;4771;370;Technical Support;2;2;No;0.63;95.24;21;English;v1.0;No;22/01/2024 00:00;9.92
9266;4653;247;Technical Support;7;3;Yes;-0.61;73.92;16;English;v1.1;No;22/01/2024 01:00;8.09
9267;3365;35;General Query;9;4;No;0.91;94.33;82;Spanish;v2.0;No;22/01/2024 02:00;9.73
9268;2487;444;Technical Support;6;4;Yes;-0.49;72.44;58;English;v1.1;Yes;22/01/2024 03:00;8.34
9269;1801;483;Technical Support;6;1;Yes;-0.24;75.3;49;English;v1.0;No;22/01/2024 04:00;7.73
9270;2622;265;General Query;3;4;No;-0.11;75.88;76;English;v1.0;No;22/01/2024 05:00;8.49
9271;2905;196;General Query;8;4;Yes;0.58;97.35;17;English;v1.1;No;22/01/2024 06:00;10.64
9272;3921;562;Technical Support;3;3;No;-0.54;89.53;97;Spanish;v2.1;No;22/01/2024 07:00;9.55
9273;1471;528;Product Inquiry;4;4;No;0.78;69.59;20;English;v1.1;Yes;22/01/2024 08:00;7.76
9274;2079;581;Technical Support;3;1;Yes;-0.82;71.97;30;German;v2.0;No;22/01/2024 09:00;7.7
9275;3672;583;Product Inquiry;2;5;Yes;0.98;69.03;22;English;v2.0;No;22/01/2024 10:00;8.7
9276;3060;252;Others;1;1;Yes;0.92;78.54;10;English;v1.1;No;22/01/2024 11:00;8.55
9277;4511;57;Feedback;1;2;Yes;-0.23;94.18;61;Spanish;v2.0;No;22/01/2024 12:00;10.42
9278;2041;510;General Query;1;4;Yes;0.74;92.99;44;English;v1.0;No;22/01/2024 13:00;10.9
9279;3741;463;General Query;5;5;Yes;0.68;80.29;21;Spanish;v1.1;No;22/01/2024 14:00;9.53
9280;4020;39;Product Inquiry;1;2;Yes;0.28;79.35;67;English;v2.0;No;22/01/2024 15:00;8.93
9281;3160;575;General Query;5;1;Yes;0.48;85.0;17;French;v2.0;No;22/01/2024 16:00;8.8
9282;1228;130;Product Inquiry;4;2;Yes;0.8;71.7;19;Spanish;v1.1;No;22/01/2024 17:00;7.87
9283;1170;506;Technical Support;2;4;Yes;0.29;64.48;65;English;v1.1;No;22/01/2024 18:00;7.95
9284;1294;108;Technical Support;3;3;No;0.33;72.66;9;English;v1.0;No;22/01/2024 19:00;7.87
9285;1188;338;Feedback;8;5;Yes;-0.6;58.25;91;English;v2.1;No;22/01/2024 20:00;7.02
9286;1425;137;General Query;3;2;Yes;-0.05;71.52;37;German;v2.0;No;22/01/2024 21:00;7.95
9287;1976;453;Technical Support;3;3;Yes;-0.95;79.74;19;Spanish;v1.0;Yes;22/01/2024 22:00;9.07
9288;2102;258;Product Inquiry;2;4;Yes;-0.74;58.3;79;Other;v2.1;No;22/01/2024 23:00;7.33
9289;3705;91;General Query;5;5;Yes;0.48;57.29;73;English;v2.1;No;23/01/2024 00:00;7.23
9290;1918;418;Product Inquiry;2;3;No;0.21;66.46;60;English;v2.0;No;23/01/2024 01:00;7.35
9291;4253;423;Technical Support;7;2;No;-0.07;78.74;81;English;v1.1;No;23/01/2024 02:00;7.77
9292;1498;270;Product Inquiry;8;5;Yes;-0.74;74.58;15;Other;v1.1;No;23/01/2024 03:00;8.66
9293;2821;214;Others;6;5;Yes;0.62;95.24;66;French;v1.0;No;23/01/2024 04:00;10.92
9294;3809;591;Product Inquiry;9;5;Yes;-0.41;78.64;5;English;v1.1;No;23/01/2024 05:00;8.96
9295;1865;241;Product Inquiry;5;3;Yes;0.6;57.06;78;Spanish;v2.0;No;23/01/2024 06:00;6.61
9296;1825;201;General Query;6;5;Yes;0.74;71.3;33;English;v2.1;No;23/01/2024 07:00;8.53
9297;4779;275;General Query;4;3;No;-0.18;92.97;70;English;v2.0;No;23/01/2024 08:00;9.8
9298;2858;107;Product Inquiry;9;2;Yes;-0.08;98.5;68;English;v1.0;No;23/01/2024 09:00;10.05
9299;3118;511;Product Inquiry;2;3;Yes;-0.27;87.46;11;English;v1.0;No;23/01/2024 10:00;9.95
9300;3295;355;Product Inquiry;1;4;No;0.2;55.1;16;English;v1.1;No;23/01/2024 11:00;6.61
9301;1145;557;Product Inquiry;6;5;Yes;-0.14;88.09;72;French;v1.0;No;23/01/2024 12:00;10.21
9302;2641;426;Technical Support;6;4;No;0.03;75.51;53;English;v2.1;No;23/01/2024 13:00;8.15
9303;4846;308;General Query;6;3;Yes;0.76;79.34;68;Spanish;v1.0;Yes;23/01/2024 14:00;8.73
9304;2319;381;Product Inquiry;6;1;Yes;-0.75;91.05;98;Spanish;v2.0;No;23/01/2024 15:00;9.3
9305;3629;460;Technical Support;4;2;Yes;-1.0;83.41;51;English;v1.0;No;23/01/2024 16:00;9.04
9306;1469;49;General Query;9;1;Yes;1.0;70.96;88;French;v1.1;Yes;23/01/2024 17:00;7.0
9307;4577;567;Feedback;7;4;Yes;0.76;51.81;32;English;v1.0;No;23/01/2024 18:00;6.18
9308;1192;242;Technical Support;8;3;Yes;-0.68;68.69;49;English;v1.1;Yes;23/01/2024 19:00;7.47
9309;2091;143;General Query;8;4;No;0.15;58.34;49;French;v2.0;No;23/01/2024 20:00;6.23
9310;3541;234;Feedback;4;3;Yes;-0.36;76.79;40;Spanish;v1.0;No;23/01/2024 21:00;8.68
9311;4888;137;Feedback;6;2;Yes;-0.7;54.91;93;English;v1.1;No;23/01/2024 22:00;5.99
9312;1051;246;Technical Support;7;3;Yes;0.35;81.86;54;English;v1.0;Yes;23/01/2024 23:00;8.89
9313;3929;463;Product Inquiry;6;3;Yes;0.97;67.15;33;Spanish;v1.0;Yes;24/01/2024 00:00;7.52
9314;3410;568;Others;6;4;Yes;-0.24;67.1;34;Other;v2.0;No;24/01/2024 01:00;7.81
9315;2820;456;General Query;7;4;Yes;0.99;88.11;20;English;v2.0;No;24/01/2024 02:00;9.81
9316;3964;31;Product Inquiry;9;3;Yes;-0.29;90.82;50;English;v1.0;No;24/01/2024 03:00;9.58
9317;3521;141;General Query;8;4;Yes;0.45;83.38;64;English;v2.1;No;24/01/2024 04:00;9.24
9318;2869;566;Product Inquiry;3;3;Yes;-0.11;75.05;13;English;v1.0;No;24/01/2024 05:00;8.6
9319;3568;508;Feedback;3;3;Yes;-0.56;95.85;50;English;v2.1;No;24/01/2024 06:00;10.68
9320;2786;270;Technical Support;2;4;Yes;-0.94;81.59;7;French;v2.1;No;24/01/2024 07:00;9.66
9321;2454;598;Technical Support;6;3;Yes;-0.49;75.97;42;English;v2.1;No;24/01/2024 08:00;8.4
9322;2867;501;General Query;7;1;Yes;0.65;50.42;76;English;v1.0;No;24/01/2024 09:00;5.14
9323;4369;569;Feedback;9;5;Yes;-0.44;80.37;34;English;v1.1;No;24/01/2024 10:00;9.14
9324;4506;299;General Query;6;3;Yes;0.74;71.05;33;English;v2.0;Yes;24/01/2024 11:00;7.9
9325;4767;356;General Query;9;3;Yes;0.63;60.69;18;Other;v2.1;No;24/01/2024 12:00;6.57
9326;3738;187;Product Inquiry;2;5;Yes;0.55;74.06;68;English;v1.0;No;24/01/2024 13:00;9.21
9327;4269;347;General Query;4;2;Yes;0.21;94.04;10;English;v1.1;No;24/01/2024 14:00;10.1
9328;4199;265;General Query;1;5;Yes;-0.65;69.26;94;English;v2.1;No;24/01/2024 15:00;8.83
9329;3579;320;Feedback;6;1;Yes;-0.12;52.34;94;Spanish;v1.0;No;24/01/2024 16:00;5.43
9330;3007;219;Product Inquiry;3;4;Yes;0.59;96.01;56;English;v1.1;No;24/01/2024 17:00;11.0
9331;2434;519;Feedback;6;1;Yes;-0.52;90.38;11;Spanish;v2.1;No;24/01/2024 18:00;9.24
9332;1839;32;Product Inquiry;1;1;No;0.47;86.2;58;Spanish;v2.0;No;24/01/2024 19:00;8.82
9333;4136;385;General Query;8;5;No;0.91;85.61;94;Other;v1.1;No;24/01/2024 20:00;9.26
9334;4765;116;General Query;6;5;Yes;0.94;51.16;36;English;v1.0;No;24/01/2024 21:00;6.52
9335;1240;90;Feedback;7;4;Yes;0.38;63.55;80;English;v2.0;Yes;24/01/2024 22:00;7.36
9336;4440;376;General Query;9;4;Yes;0.1;92.15;39;Other;v2.1;No;24/01/2024 23:00;10.02
9337;1535;563;Product Inquiry;4;3;Yes;0.37;98.45;55;English;v1.0;No;25/01/2024 00:00;10.84
9338;2407;269;General Query;4;4;Yes;0.13;93.54;52;Spanish;v1.0;No;25/01/2024 01:00;10.65
9339;4502;273;Technical Support;4;3;No;0.94;66.27;69;French;v2.1;No;25/01/2024 02:00;7.13
9340;1082;201;General Query;2;5;Yes;0.99;78.11;73;English;v2.1;No;25/01/2024 03:00;9.61
9341;1981;185;General Query;3;4;Yes;-0.97;71.04;79;German;v1.1;No;25/01/2024 04:00;8.5
9342;4902;23;Technical Support;6;4;Yes;0.03;93.75;64;French;v2.1;No;25/01/2024 05:00;10.48
9343;4768;482;General Query;2;2;Yes;0.63;77.32;25;Other;v1.1;Yes;25/01/2024 06:00;8.63
9344;1950;164;Product Inquiry;9;4;Yes;-0.27;55.07;92;English;v1.0;No;25/01/2024 07:00;6.31
9345;4899;184;Technical Support;3;3;Yes;-0.36;82.05;97;German;v1.1;No;25/01/2024 08:00;9.3
9346;1610;363;Technical Support;3;4;Yes;-0.36;74.46;54;Spanish;v1.0;No;25/01/2024 09:00;8.85
9347;1573;124;General Query;6;3;Yes;-0.13;98.91;46;English;v1.1;No;25/01/2024 10:00;10.69
9348;3333;567;Technical Support;2;3;Yes;0.56;62.97;40;English;v2.0;No;25/01/2024 11:00;7.5
9349;1988;333;Feedback;4;3;Yes;0.95;59.51;52;English;v1.1;No;25/01/2024 12:00;6.95
9350;4605;188;Product Inquiry;1;5;Yes;0.03;71.66;17;French;v2.0;No;25/01/2024 13:00;9.07
9351;1458;539;Technical Support;4;3;Yes;0.44;64.27;94;English;v2.1;No;25/01/2024 14:00;7.43
9352;4283;455;Feedback;5;5;No;0.73;69.55;76;English;v2.1;Yes;25/01/2024 15:00;7.96
9353;3173;531;Technical Support;5;5;No;0.67;87.88;79;English;v1.0;Yes;25/01/2024 16:00;9.79
9354;4484;428;General Query;2;4;Yes;0.87;75.5;16;English;v1.0;No;25/01/2024 17:00;9.05
9355;2522;455;Others;9;3;No;0.16;53.53;23;English;v2.1;Yes;25/01/2024 18:00;5.35
9356;3472;334;General Query;7;3;Yes;0.46;77.22;7;English;v1.0;No;25/01/2024 19:00;8.42
9357;3601;561;Others;4;5;Yes;0.02;62.31;51;English;v2.0;No;25/01/2024 20:00;7.83
9358;3657;598;General Query;5;2;Yes;-0.34;95.78;87;Spanish;v1.0;No;25/01/2024 21:00;10.18
9359;2984;82;Product Inquiry;1;4;Yes;0.62;51.81;76;Spanish;v1.0;No;25/01/2024 22:00;6.78
9360;2566;51;Feedback;5;2;Yes;-0.78;91.28;40;English;v2.1;No;25/01/2024 23:00;9.73
9361;4229;230;General Query;6;1;Yes;-0.84;65.08;64;English;v1.0;No;26/01/2024 00:00;6.71
9362;3159;482;General Query;5;3;Yes;-0.53;59.07;85;German;v1.0;No;26/01/2024 01:00;6.81
9363;3449;582;Product Inquiry;6;3;Yes;-0.46;85.26;94;English;v1.1;Yes;26/01/2024 02:00;9.33
9364;4830;594;Technical Support;7;2;Yes;0.07;79.83;65;English;v1.0;No;26/01/2024 03:00;8.38
9365;1121;99;General Query;6;4;Yes;-0.98;69.91;64;English;v2.1;No;26/01/2024 04:00;8.09
9366;1272;362;Product Inquiry;2;4;Yes;0.22;96.58;80;English;v2.1;No;26/01/2024 05:00;11.16
9367;2317;251;Product Inquiry;2;4;Yes;-0.99;59.92;31;English;v1.1;No;26/01/2024 06:00;7.49
9368;1397;148;General Query;9;3;Yes;-0.99;88.03;25;Spanish;v1.1;No;26/01/2024 07:00;9.3
9369;3518;38;Product Inquiry;6;3;Yes;-0.65;51.32;13;Spanish;v1.1;No;26/01/2024 08:00;5.93
9370;1984;376;General Query;4;2;Yes;0.62;73.2;27;English;v2.0;No;26/01/2024 09:00;8.02
9371;2230;438;General Query;5;3;Yes;-0.36;86.54;15;English;v2.0;No;26/01/2024 10:00;9.55
9372;2133;100;Technical Support;5;5;Yes;0.33;76.31;78;English;v1.0;No;26/01/2024 11:00;9.13
9373;4511;137;Feedback;8;3;Yes;-0.79;78.5;98;Spanish;v2.0;No;26/01/2024 12:00;8.45
9374;2301;513;Product Inquiry;5;1;Yes;0.72;80.37;52;French;v2.0;No;26/01/2024 13:00;8.34
9375;4639;511;General Query;2;3;Yes;0.63;57.91;58;English;v1.1;No;26/01/2024 14:00;6.99
9376;2910;244;Technical Support;2;4;Yes;0.04;76.51;99;English;v2.0;No;26/01/2024 15:00;9.15
9377;4986;438;Feedback;5;5;No;-0.01;58.29;19;English;v1.1;No;26/01/2024 16:00;6.83
9378;3616;156;Product Inquiry;4;1;No;0.4;81.58;10;English;v1.1;No;26/01/2024 17:00;8.06
9379;2505;245;Product Inquiry;2;3;No;-0.88;56.02;86;English;v2.1;No;26/01/2024 18:00;6.3
9380;4874;353;Others;6;5;Yes;-0.9;50.56;14;English;v1.1;No;26/01/2024 19:00;6.46
9381;4185;248;Product Inquiry;8;2;No;-0.97;54.08;34;English;v2.1;No;26/01/2024 20:00;5.21
9382;2916;342;Technical Support;2;1;Yes;0.08;52.1;7;Spanish;v2.0;No;26/01/2024 21:00;5.81
9383;3944;127;Product Inquiry;7;4;Yes;-0.16;97.87;90;French;v1.0;No;26/01/2024 22:00;10.79
9384;1819;464;General Query;4;4;Yes;0.9;70.9;76;English;v1.0;No;26/01/2024 23:00;8.39
9385;3900;26;General Query;5;4;Yes;0.86;66.38;12;English;v1.0;No;27/01/2024 00:00;7.84
9386;4548;147;Technical Support;2;2;Yes;-0.91;96.42;20;English;v2.1;No;27/01/2024 01:00;10.54
9387;3757;372;Product Inquiry;9;3;Yes;-0.99;98.49;87;Spanish;v2.0;No;27/01/2024 02:00;10.35
9388;2956;286;Product Inquiry;3;3;Yes;-0.56;98.02;49;English;v1.1;No;27/01/2024 03:00;10.9
9389;3368;233;General Query;1;4;Yes;-0.63;83.55;25;Spanish;v2.1;No;27/01/2024 04:00;9.96
9390;1178;266;Feedback;4;3;Yes;0.14;75.18;96;French;v2.1;No;27/01/2024 05:00;8.52
9391;1896;393;Feedback;1;3;Yes;0.2;94.11;83;Spanish;v2.0;No;27/01/2024 06:00;10.71
9392;3266;440;Product Inquiry;6;3;Yes;0.52;73.3;43;English;v1.0;No;27/01/2024 07:00;8.13
9393;3836;60;Technical Support;4;1;Yes;0.3;86.44;77;English;v1.0;No;27/01/2024 08:00;9.04
9394;2972;367;General Query;4;4;Yes;0.65;96.59;41;English;v2.1;No;27/01/2024 09:00;10.96
9395;2551;580;Product Inquiry;9;4;No;-0.37;56.49;96;English;v2.0;No;27/01/2024 10:00;5.95
9396;1491;162;Product Inquiry;9;1;No;-0.56;68.53;47;English;v2.0;No;27/01/2024 11:00;6.25
9397;4962;160;Technical Support;7;3;Yes;-0.86;84.64;91;English;v1.1;No;27/01/2024 12:00;9.16
9398;1060;584;Product Inquiry;4;2;Yes;0.14;57.07;15;Spanish;v1.1;No;27/01/2024 13:00;6.41
9399;2077;126;Product Inquiry;9;1;Yes;0.92;68.94;63;English;v2.0;No;27/01/2024 14:00;6.79
9400;2703;52;General Query;5;3;No;0.79;80.41;50;English;v2.0;No;27/01/2024 15:00;8.44
9401;3585;219;General Query;4;5;Yes;-0.02;66.75;43;Other;v1.1;Yes;27/01/2024 16:00;8.28
9402;3895;138;Feedback;5;1;Yes;0.78;87.52;39;English;v2.1;No;27/01/2024 17:00;9.05
9403;4035;248;General Query;9;5;Yes;0.96;84.62;54;Spanish;v1.1;Yes;27/01/2024 18:00;9.56
9404;1064;204;General Query;1;2;Yes;0.13;62.67;17;English;v1.0;No;27/01/2024 19:00;7.27
9405;4683;234;Product Inquiry;7;5;Yes;0.71;88.8;32;French;v1.0;No;27/01/2024 20:00;10.18
9406;1585;149;General Query;9;2;Yes;-0.2;67.19;15;English;v1.0;No;27/01/2024 21:00;6.92
9407;2727;291;Product Inquiry;1;5;Yes;-0.05;63.29;30;English;v2.1;No;27/01/2024 22:00;8.23
9408;3218;27;Product Inquiry;3;5;Yes;0.43;51.78;45;English;v2.0;No;27/01/2024 23:00;6.88
9409;4344;422;General Query;7;5;Yes;0.52;88.05;76;English;v1.1;Yes;28/01/2024 00:00;10.1
9410;4960;598;General Query;4;2;Yes;0.56;76.5;85;Other;v1.0;No;28/01/2024 01:00;8.35
9411;4770;388;General Query;9;4;Yes;0.5;76.73;97;English;v1.0;No;28/01/2024 02:00;8.47
9412;1534;556;Product Inquiry;8;4;Yes;-0.53;60.15;20;English;v2.1;Yes;28/01/2024 03:00;6.92
9413;4462;72;Technical Support;4;4;Yes;0.89;68.11;97;English;v2.0;No;28/01/2024 04:00;8.11
9414;3740;266;General Query;3;3;Yes;0.07;65.75;95;English;v2.1;No;28/01/2024 05:00;7.68
9415;4398;356;Technical Support;5;5;Yes;-0.3;97.54;14;English;v2.0;No;28/01/2024 06:00;11.25
9416;3155;300;Technical Support;7;2;Yes;-0.79;67.72;63;English;v1.0;No;28/01/2024 07:00;7.17
9417;2870;52;General Query;6;5;Yes;-0.17;61.97;71;Spanish;v1.0;No;28/01/2024 08:00;7.6
9418;4233;567;Technical Support;7;2;Yes;0.18;58.53;37;English;v1.1;Yes;28/01/2024 09:00;6.25
9419;3861;362;Technical Support;5;3;Yes;0.58;76.54;15;German;v1.1;No;28/01/2024 10:00;8.55
9420;2004;258;Technical Support;2;3;Yes;-0.35;56.09;39;Spanish;v1.0;No;28/01/2024 11:00;6.81
9421;3499;511;Feedback;5;2;Yes;0.8;51.34;21;English;v2.0;No;28/01/2024 12:00;5.73
9422;2229;196;General Query;7;2;Yes;0.72;76.68;80;English;v2.1;No;28/01/2024 13:00;8.07
9423;3637;63;General Query;1;3;No;0.71;79.41;34;Spanish;v1.0;No;28/01/2024 14:00;8.74
9424;2039;323;Product Inquiry;5;1;No;0.94;69.22;51;English;v2.0;No;28/01/2024 15:00;6.72
9425;1326;288;General Query;4;2;Yes;0.69;71.83;66;Spanish;v1.1;No;28/01/2024 16:00;7.88
9426;1607;419;General Query;7;5;Yes;-0.08;93.48;92;French;v1.1;No;28/01/2024 17:00;10.65
9427;3706;450;Feedback;6;4;Yes;0.6;85.69;12;English;v1.1;No;28/01/2024 18:00;9.67
